Analytic,Category,Platform,Tactic,Technique,Technique Name,Detection Strategy,Strategy Name,Classifier Signal,Log Sources,Description,"Status ( Done, Under-Progress, Not-Yet Done)",OCSF Mapping Possible (Yes/No),updated or not 
AN0643,Endpoint-offline,Windows,defense-impairment,T1553.002,Code Signing,DET0230,Detect Suspicious or Malicious Code Signing Abuse,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects execution of binaries signed with unusual or recently issued certificates, correlation of process execution with abnormal publisher metadata, and mismatched certificate chains. Monitors for revoked or unknown code signing certificates used in high-privilege contexts.",Done,Yes,done
AN0153,Endpoint-offline,Windows,defense-impairment,T1553.004,Install Root Certificate,DET0056,Detection Strategy for Subvert Trust Controls via Install Root Certificate.,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detection of unauthorized modifications to Windows root certificate stores by monitoring registry keys, certificate installation processes, and creation of new certificate entries not in baseline trusted lists.",Done,Yes,done
AN0535,Endpoint-offline,Windows,defense-impairment,T1685.001,Disable or Modify Windows Event Log,DET0187,Detect Disabled Windows Event Log,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon; WinEventLog:System,"Detection of attempts to disable or tamper with Windows Event Logging. This includes stopping or disabling the EventLog service, modifying registry keys related to EventLog and Autologger, using `auditpol` or `wevtutil` to disable categories or clear audit policies, and detecting suspicious gaps or resets in event logs. Defenders observe registry changes, service state changes, process execution of disabling commands, and anomalies in event record sequences.",Done,Yes,done
AN0406,Endpoint-offline,Windows,defense-impairment,T1686,Disable or Modify System Firewall,DET0145,Detection of Disabled or Modified System Firewalls across OS Platforms.,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detection of firewall tampering by monitoring processes executing netsh, PowerShell Set-NetFirewallProfile, or sc stop mpssvc. Registry modifications under HKLM\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy also indicate adversarial actions.",Done,Yes,done
AN0323,Endpoint-offline,Windows,defense-impairment,T1688,Safe Mode Boot,DET0116,Detection Strategy for Safe Mode Boot Abuse,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Abuse of safe mode via BCD modification, boot configuration utilities (bcdedit.exe, bootcfg.exe), and registry persistence under SafeBoot keys. Defender view: suspicious boot configuration changes correlated with registry edits that enable adversary persistence or disable defenses.",Done,Yes,done
AN0258,Endpoint-offline,Windows,"execution, persistence, privilege-escalation",T1053,Scheduled Task/Job,DET0094,Cross-Platform Behavioral Detection of Scheduled Task/Job Abuse,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects creation or modification of scheduled tasks using schtasks.exe, at.exe, or COM objects followed by execution of outlier processes tied to the scheduled job.",Done,Yes,done
AN0209,Endpoint-offline,Windows,execution,T1059.005,Visual Basic,DET0076,Behavioral Detection of Visual Basic Execution (VBS/VBA/VBScript),host-local feeds only,WinEventLog:Sysmon,"Detects execution of VB-based scripts or macros (VBS/VBA/VBScript) through cscript.exe/wscript.exe, Office-based process chains, or HTA usage. Focuses on chained behavior: Office or HTML container spawns script host > script host spawns PowerShell, network connections, or process injection.",Done,Yes,done
AN0278,Endpoint-offline,Windows,execution,T1059.011,Lua,DET0101,Detection Strategy for Lua Scripting Abuse,host-local feeds only,WinEventLog:Sysmon,"Detects execution of Lua interpreters or scripts (.lua), especially when correlated with suspicious parent processes or file drop events, indicating malicious use of embedded scripting.",Done,Yes,done
AN0550,Endpoint-offline,Windows,"execution, stealth",T1127.002,ClickOnce,DET0191,Behavior-chain detection strategy for T1127.002 Trusted Developer Utilities Proxy Execution: ClickOnce (Windows),host-local feeds only,WinEventLog:Microsoft-Windows-Security-Mitigations/KernelMode; WinEventLog:Security; WinEventLog:Sysmon,Abuse of ClickOnce applications where rundll32.exe invokes dfshim.dll with ShOpenVerbApplication or dfsvc.exe spawns unexpected child processes or loads unsigned modules.,Done,Yes,done
AN0052,Endpoint-offline,Windows,execution,T1129,Shared Modules,DET0018,"Behavior-chain, platform-aware detection strategy for T1129 Shared Modules",host-local feeds only,WinEventLog:Microsoft-Windows-CodeIntegrity/Operational; WinEventLog:Security; WinEventLog:Sysmon,"A process (often LOLBin or user-launched program) loads a DLL from a user-writable/UNC/Temp path or unsigned/invalid signer. Within a short window the DLL is (a) newly written to disk, (b) spawned as follow-on execution (rundll32/regsvr32), or (c) establishes outbound C2.",Done,Yes,done
AN0609,Endpoint-offline,Windows,"execution, stealth",T1574,Hijack Execution Flow,DET0218,Detection Strategy for Hijack Execution Flow across OS platforms.,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Unusual modifications to service binary paths, registry keys, or DLL load paths resulting in alternate execution flow. Defender observes registry key modifications, suspicious file writes into system directories, and processes loading libraries from abnormal paths.",Done,No(but can be convertable to yes),done
AN0577,Endpoint-offline,Windows,"execution, stealth",T1574.001,DLL,DET0201,Detection Strategy for Hijack Execution Flow for DLLs,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"DLL hijacking behaviors including unexpected DLL loads from non-standard directories, replacement of DLLs, phantom DLL insertion, redirection file creation, and substitution of legitimate DLLs. Defender correlates file system modifications, registry changes, and module load telemetry to detect abnormal DLL behavior in trusted processes.",Done,No(but can be convertable to yes),done
AN0108,Endpoint-offline,Windows,"execution, stealth",T1574.005,Executable Installer File Permissions Weakness,DET0038,Detection Strategy for Hijack Execution Flow using Executable Installer File Permissions Weakness,host-local feeds only,WinEventLog:Sysmon,"Executables written or modified in installer directories (e.g., %TEMP% subdirectories or Program Files installer paths) followed by execution under elevated context. Defender observes abnormal file replacement activity, process creation by installer processes pointing to attacker-supplied binaries, and unexpected module loads in elevated processes.",Done,No(but can be convertable to yes),done
AN0009,Endpoint-offline,Windows,"execution, stealth",T1574.007,Path Interception by PATH Environment Variable,DET0004,Detection Strategy for Hijack Execution Flow using Path Interception by PATH Environment Variable.,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Abnormal modification of the PATH environment variable or registry keys controlling system paths, combined with execution of binaries named after legitimate system tools from user-writable directories. Defender correlates registry modifications, file creation of suspicious binaries, and process execution paths inconsistent with baseline system directories.",Done,No(but can be convertable to yes),done
AN0176,Endpoint-offline,Windows,"execution, stealth",T1574.009,Path Interception by Unquoted Path,DET0064,Detection Strategy for Hijack Execution Flow through Path Interception by Unquoted Path,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Unquoted service or shortcut paths that contain spaces and allow path interception by higher-level executables. Defender observes registry service configurations with unquoted paths, file creation of executables in parent directories of unquoted paths, and subsequent process execution from unexpected locations.",Done,No(but can be convertable to yes),done
AN0975,Endpoint-offline,Windows,privilege-escalation,T1548,Abuse Elevation Control Mechanism,DET0345,Detection Strategy for Abuse Elevation Control Mechanism (T1548),host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Correlate registry modifications (e.g., UAC bypass registry keys), unusual parent-child process relationships (e.g., control.exe spawning cmd.exe), and unsigned elevated process executions with non-standard tokens or elevation flags.",Done,No(but can be convertable to yes),done
AN1094,Endpoint-offline,Windows,privilege-escalation,T1548.002,Bypass User Account Control,DET0388,Detection Strategy for T1548.002 � Bypass User Account Control (UAC),host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects a multi-event behavior chain involving UAC bypass attempts via known auto-elevated binaries (e.g., eventvwr.exe, sdclt.exe), unauthorized Registry changes to UAC-related keys, and anomalous process execution with elevated privileges but lacking standard parent-child lineage. Suspicious patterns include invocation of auto-elevated COM objects or manipulation of isolatedCommand Registry entries without consent prompts.",Done,No(but can be convertable to yes),done
AN0158,Endpoint-offline,Windows,command-and-control,T1102.001,Dead Drop Resolver,DET0058,Detection Strategy for Web Service: Dead Drop Resolver,host-local feeds only,WinEventLog:Sysmon; etw:Microsoft-Windows-NDIS-PacketCapture,Detection of a process or script that accesses a common web service to retrieve content containing obfuscated indicators of a secondary C2 server (dead drop resolver behavior).,Done,Yes,done
AN0100,Endpoint-offline,Windows,command-and-control,T1102.002,Bidirectional Communication,DET0035,Detect Bidirectional Web Service C2 Channels via Process & Network Correlation,host-local feeds only,WinEventLog:Sysmon; etw:Microsoft-Windows-WinINet,"Suspicious processes initiating encrypted HTTPS connections to common web service domains, followed by abnormal data upload behavior or automated posting behavior indicative of C2 bidirectional traffic.",Done,Yes,done
AN0637,Endpoint-offline,Windows,command-and-control,T1104,Multi-Stage Channels,DET0228,Detect Multi-Stage Command and Control Channels,host-local feeds only,WinEventLog:Sysmon,"Initial process initiates outbound connection to first-stage C2, receives payloads or commands, then spawns or injects into a second process that establishes a new outbound connection to an unrelated destination (second-stage C2).",Done,Yes,done
AN0165,Endpoint-offline,Windows,command-and-control,T1105,Ingress Tool Transfer,DET0060,Detect Ingress Tool Transfers via Behavioral Chain,host-local feeds only,WinEventLog:Sysmon,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,Done,Yes,done
AN0714,Endpoint-offline,Windows,command-and-control,T1219.002,Remote Desktop Software,DET0259,Remote Desktop Software Execution and Beaconing Detection,host-local feeds only,WinEventLog:Microsoft-Windows-Windows Firewall With Advanced Security/Firewall; WinEventLog:Sysmon,"Adversary installation or use of RMM software (e.g., TeamViewer, AnyDesk, ScreenConnect) followed by outbound beaconing or remote session establishment",Done,Yes,done
AN0109,Endpoint-offline,Windows,command-and-control,T1568,Dynamic Resolution,DET0039,Detection Strategy for Dynamic Resolution across OS Platforms,host-local feeds only,WinEventLog:Sysmon,"Correlate high-frequency or anomalous DNS query activity with processes that do not normally generate network requests (e.g., Office apps, system utilities). Detect pseudo-random or high-entropy domain lookups indicative of domain generation algorithms (DGAs).",Done,Yes,done
AN0728,Endpoint-offline,Windows,command-and-control,T1568.003,DNS Calculation,DET0262,Detection Strategy for Dynamic Resolution through DNS Calculation,host-local feeds only,WinEventLog:Sysmon,"Monitor DNS query results where subsequent connections use derived or unusual port numbers not explicitly resolved, especially when tied to suspicious processes. Correlate Sysmon DNS logs (Event ID 22) with process creation and socket activity.",Done,Yes,done
AN0633,Endpoint-offline,Windows,command-and-control,T1571,Non-Standard Port,DET0227,Detection Strategy for Non-Standard Ports,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Processes initiating outbound connections on uncommon ports or using protocols inconsistent with the assigned port. Correlating process creation with subsequent network connections reveals anomalies such as svchost.exe or Office applications using high, atypical ports.",Done,Yes,done
AN0400,Endpoint-offline,Windows,command-and-control,T1573.001,Symmetric Cryptography,DET0143,Detection Strategy for Encrypted Channel via Symmetric Cryptography across OS Platforms,host-local feeds only,WinEventLog:Sysmon,"Processes that typically do not perform cryptographic operations loading symmetric encryption libraries (e.g., bcryptprimitives.dll, aes.dll), then initiating outbound connections with high-entropy payloads. Defender correlates process creation, DLL load, and anomalous encrypted traffic patterns.",Done,Yes,done
AN0212,Endpoint-offline,Windows,exfiltration,T1011,Exfiltration Over Other Network Medium,DET0077,Detection of Exfiltration Over Alternate Network Interfaces,host-local feeds only,WinEventLog:Sysmon; WinEventLog:System,"Execution of file transfer or network access activity through non-primary interfaces (e.g., WiFi, Bluetooth, cellular) by processes not typically associated with such behavior (e.g., rundll32, powershell, regsvr32).",Done,Yes,done
AN1113,Endpoint-offline,Windows,exfiltration,T1020,Automated Exfiltration,DET0397,Automated Exfiltration Detection Strategy,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,Detection of automated tools or scripts periodically transmitting data to external destinations using scheduled tasks or background processes.,Done,Yes,done
AN1118,Endpoint-offline,Windows,exfiltration,T1029,Scheduled Transfer,DET0399,Detection Strategy for Scheduled Transfer and Recurrent Exfiltration Patterns,host-local feeds only,WinEventLog:Sysmon; WinEventLog:System,Recurring network exfiltration initiated by scheduled or script-based processes exhibiting time-based regularity and consistent external destinations.,Done,Yes,done
AN0367,Endpoint-offline,Windows,exfiltration,T1048,Exfiltration Over Alternative Protocol,DET0131,Behavioral Detection Strategy for Exfiltration Over Alternative Protocol,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects unusual outbound file transfer behavior using protocols like FTP, SMB, SMTP, or DNS, involving non-standard processes, off-hour activity, or uncommonly high volume.",Done,Yes,done
AN1389,Endpoint-offline,Windows,exfiltration,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,DET0503,Behavioral Detection Strategy for Exfiltration Over Symmetric Encrypted Non-C2 Protocol,host-local feeds only,WinEventLog:Sysmon,"Detects the execution of non-browser processes establishing outbound encrypted network connections using uncommon symmetric encryption protocols (e.g., AES via PowerShell or custom scripts) to alternate external destinations.",Done,Yes,done
AN0342,Endpoint-offline,Windows,exfiltration,T1052,Exfiltration Over Physical Medium,DET0123,Detection of Data Exfiltration via Removable Media,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon; WinEventLog:System,"Detects removable drive insertion followed by unusual file access, compression, or staging activity by unauthorized users or unexpected processes.",Done,No(but can be convertable to yes),done
AN0616,Endpoint-offline,Windows,exfiltration,T1052.001,Exfiltration over USB,DET0220,Detection of USB-Based Data Exfiltration,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon; WinEventLog:System,Detects USB device insertion followed by high-volume or sensitive file access and staging activity by suspicious processes or accounts.,Done,No(but can be convertable to yes),done
AN0895,Endpoint-offline,Windows,exfiltration,T1567.001,Exfiltration to Code Repository,DET0318,Detection Strategy for Exfiltration to Code Repository,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Processes such as PowerShell, Git, or curl initiating outbound HTTPS POST requests to known code repository APIs (e.g., github.com, gitlab.com) immediately following large file reads. Defender view: correlation between file access of sensitive directories (e.g., Documents, Finance) and abnormal data uploads to repository domains.",Done,Yes,done
AN0787,Endpoint-offline,Windows,exfiltration,T1567.003,Exfiltration to Text Storage Sites,DET0284,Detection Strategy for Exfiltration to Text Storage Sites,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Unexpected processes (e.g., powershell.exe, wscript.exe, office apps) initiating HTTP POST/PUT requests to text storage domains like pastebin.com or hastebin.com, particularly when preceded by file access in sensitive directories. Defender perspective: correlation of process lineage, large clipboard/file read operations, and outbound uploads to text storage services.",Done,Yes,done
AN0436,Endpoint-offline,Windows,exfiltration,T1567.004,Exfiltration Over Webhook,DET0153,Detection Strategy for Exfiltration Over Webhook,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Unusual processes (e.g., powershell.exe, wscript.exe, mshta.exe) posting data to webhook endpoints (Discord, Slack, webhook.site) using HTTP POST/PUT requests. Defender perspective: suspicious process lineage followed by outbound HTTPS traffic to webhook domains.",Done,Yes,done
AN0411,Endpoint-offline,Windows,impact,T1485,Data Destruction,DET0146,Detection of Data Destruction Across Platforms via Mass Overwrite and Deletion Patterns,host-local feeds only,WinEventLog:Sysmon,"Adversary spawns command-line tools (e.g., del, cipher /w, SDelete) or scripts to recursively delete or overwrite user/system files. This may be correlated with abnormal file IO activity, registry writes, or tampering in critical system directories.",Done,Yes,done
AN0061,Endpoint-offline,Windows,impact,T1489,Service Stop,DET0021,Behavioral Detection for Service Stop across Platforms,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon; WinEventLog:System,"Adversary disables or stops critical services (e.g., Exchange, SQL, AV, endpoint monitoring) using native utilities or API calls, often preceding destructive actions (T1485, T1486). Behavioral chain: Elevated execution context + stop-service or sc.exe or ChangeServiceConfigW + terminated or disabled service + possible follow-up file manipulation.",Done,Yes,done
AN0229,Endpoint-offline,Windows,impact,T1491.001,Internal Defacement,DET0082,Internal Website and System Content Defacement via UI or Messaging Modifications,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Adversary modifies internal UI messages (e.g., login banners, desktop wallpapers) or hosted intranet web pages by creating or altering content files using scripts or unauthorized access. Often preceded by privilege escalation or web shell deployment.",Done,No(but can be convertable to yes),done
AN0474,Endpoint-offline,Windows,impact,T1495,Firmware Corruption,DET0167,Firmware Modification via Flash Tool or Corrupted Firmware Upload,host-local feeds only,WinEventLog:Microsoft-Windows-Kernel-Boot; WinEventLog:Security; WinEventLog:Sysmon,Firmware flash utility invoked with elevated privileges followed by raw access to firmware device path or changes to boot configuration.,Done,Yes,done
AN0080,Endpoint-offline,Windows,impact,T1496.002,Bandwidth Hijacking,DET0028,"Detect Excessive or Unauthorized Bandwidth Usage for Botnet, Proxyjacking, or Scanning Purposes",host-local feeds only,WinEventLog:Sysmon,"Processes invoking network-intensive child processes or uploading large data volumes, often from non-standard user or system contexts, with evidence of long-duration TCP/UDP sessions to unusual destinations.",Done,Yes,done
AN0489,Endpoint-offline,Windows,impact,T1499.002,Service Exhaustion Flood,DET0173,Detection Strategy for Endpoint DoS via Service Exhaustion Flood,host-local feeds only,WinEventLog:Application; WinEventLog:Sysmon; Windows:perfmon,"High-frequency, repetitive service requests (e.g., HTTP, TLS renegotiation) originating from a single or small set of source IPs targeting endpoint web services or application ports, leading to exhaustion of CPU or memory on targeted Windows services.",Done,Yes,done
AN0334,Endpoint-offline,Windows,impact,T1531,Account Access Removal,DET0120,Account Access Removal via Multi-Platform Audit Correlation,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Correlated user account modification (reset, disable, deletion) events with anomalous process lineage (e.g., PowerShell or net.exe from an interactive session), especially outside of IT admin change windows or by non-admin users.",Done,No(but can be convertable to yes),done
AN0384,Endpoint-offline,Windows,impact,T1561,Disk Wipe,DET0137,Detection Strategy for Disk Wipe via Direct Disk Access and Destructive Commands,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Unusual direct disk access attempts (e.g., use of \\.\PhysicalDrive notation), abnormal writes to MBR/boot sectors, and installation of kernel drivers that grant raw disk access. Correlate anomalous process creation with disk modification attempts and driver loads.",Done,Yes,done
AN0162,Endpoint-offline,Windows,impact,T1565,Data Manipulation,DET0059,Detection Strategy for Data Manipulation,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Correlate unauthorized or anomalous file modifications, deletions, or metadata changes with suspicious process execution or API calls. Detect abnormal changes to structured data (e.g., database files, logs, financial records) outside expected business process activity.",Done,No(but can be convertable to yes),done
AN0555,Endpoint-offline,Windows,impact,T1565.001,Stored Data Manipulation,DET0193,Detection Strategy for Stored Data Manipulation across OS Platforms.,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Identify unauthorized creation, deletion, or modification of business-critical stored data such as Office documents, database files, and log archives. Detect anomalous processes modifying stored data outside of expected workflows (e.g., non-database processes modifying database files).",Done,No(but can be convertable to yes),done
AN1298,Endpoint-offline,Windows,lateral-movement,T1080,Taint Shared Content,DET0471,Detection of Tainted Content Written to Shared Storage,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects adversary tampering of shared directories via file drops (e.g., malicious LNK, EXE, VBS) followed by user execution or suspicious network activity.",Done,No(but can be convertable to yes),done
AN0954,Endpoint-offline,Windows,lateral-movement,T1550,Use Alternate Authentication Material,DET0338,Behavioral Detection Strategy for Use Alternate Authentication Material (T1550),host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,Use of stolen Kerberos tickets or token impersonation resulting in logon sessions from accounts without expected interactive logon events.,Done,Yes,done
AN0216,Endpoint-offline,Windows,lateral-movement,T1563,Remote Service Session Hijacking,DET0079,Detection of Remote Service Session Hijacking,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detection of anomalous RDP or remote service session activity where a logon session is hijacked rather than newly created. Indicators include mismatched user credentials vs. active session tokens, service session takeovers without corresponding successful logon events, or RDP shadowing activity without user consent.",Done,Yes,done
AN1620,Endpoint-offline,Windows,lateral-movement,T1563.002,RDP Hijacking,DET0588,Detection of Remote Service Session Hijacking for RDP.,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon; WinEventLog:System,"Detection of suspicious use of `tscon.exe` or equivalent methods to hijack legitimate RDP sessions. Defenders can observe anomalies such as session reassignments without corresponding authentication, processes spawned in the context of hijacked sessions, or unusual RDP network traffic flows that deviate from expected baselines.",Done,Yes,done
AN0516,Endpoint-offline,Windows,lateral-movement,T1570,Lateral Tool Transfer,DET0183,Detection Strategy for Lateral Tool Transfer across OS platforms,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Correlate suspicious file transfers over SMB or Admin$ shares with process creation events (e.g., cmd.exe, powershell.exe, certutil.exe) that do not align with normal administrative behavior. Detect remote file writes followed by execution of transferred binaries.",Done,No(but can be convertable to yes),done
AN0006,Endpoint-offline,Windows,persistence,T1136.002,Domain Account,DET0003,T1136.002 Detection Strategy - Domain Account Creation Across Platforms,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,Adversary uses built-in tools such as 'net user /add /domain' or PowerShell to create a domain user account. The behavior chain includes: (1) suspicious process execution on a domain controller followed by (2) user account creation event (Event ID 4720) on the same host.,Done,Yes,done
AN0137,Endpoint-offline,Windows,persistence,T1137.006,Add-ins,DET0050,Detect Persistence via Malicious Office Add-ins,host-local feeds only,WinEventLog:Sysmon,"An adversary writes or drops a malicious Office Add-in (e.g., WLL, XLL, COM) to a trusted directory or modifies registry keys to load malicious add-ins on Office application launch. Upon user opening Word or Excel, the add-in is automatically loaded, triggering execution of the payload, often spawning scripting engines or anomalous child processes.",Done,No(but can be convertable to yes),done
AN0184,Endpoint-offline,Windows,persistence,T1505.004,IIS Components,DET0068,Detection Strategy for T1505.004 - Malicious IIS Components,host-local feeds only,WinEventLog:Microsoft-IIS-Configuration; WinEventLog:Security; WinEventLog:Sysmon; WinEventLog:System,"Adversary installs or modifies IIS components (ISAPI filters, extensions, or modules) using DLL files registered via configuration changes or administrative tools like AppCmd.exe. These components intercept or manipulate HTTP requests/responses for persistence or C2.",Done,Yes,done
AN0024,Endpoint-offline,Windows,"persistence, privilege-escalation",T1546,Event Triggered Execution,DET0010,Behavioral Detection of Event Triggered Execution Across Platforms,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon; WinEventLog:WMI,"Correlates unexpected modifications to WMI event filters, scheduled task triggers, or registry autorun keys with subsequent execution of non-standard binaries by SYSTEM-level processes.",Done,No(but can be convertable to yes),done
AN0170,Endpoint-offline,Windows,"persistence, privilege-escalation",T1546.001,Change Default File Association,DET0061,Detect Default File Association Hijack via Registry & Execution Correlation on Windows,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects modification of registry keys used for default file handlers, followed by anomalous process execution from user-initiated file opens. This includes tracking changes under HKCU and HKCR for file extension mappings, and correlating them with new or suspicious handler paths launching unusual child processes (e.g., PowerShell, cmd, wscript).",Done,No(but can be convertable to yes),done
AN0094,Endpoint-offline,Windows,"persistence, privilege-escalation",T1546.008,Accessibility Features,DET0033,Detection Strategy for Accessibility Feature Hijacking via Binary Replacement or Registry Modification,host-local feeds only,WinEventLog:Sysmon,"Defenders can observe suspicious replacement or tampering of system accessibility binaries (e.g., utilman.exe, sethc.exe, osk.exe) and anomalous modifications to registry keys used to redirect accessibility programs (such as IFEO keys). Additionally, execution of cmd.exe or other suspicious binaries triggered from the login screen by SYSTEM can be correlated as part of a behavior chain.",Done,No(but can be convertable to yes),done
