Level of Importance,Name / Category,Targeting / Description,Parent Domain,Coverage Status,Coverage Details,MITRE Technique,Can we build it?,Extra Tooling / Log Source Needed,Gap Type,Need New Tool? (Y/N),Needs Log/API Config? (Y/N)
Gov-critical,Agent tamper protection,"Kernel-level self-protection, anti-uninstall, driver protection, rollback-resistant agent updates, health heartbeat",Endpoint protection & response: Core EDR — agents on every managed device,Partial,"Detecting attempts to kill security agents via command-line tools (like using taskkill or net stop) is covered by rules like AN0061-T1489-DET0021 and AN1369-T1685-DET0497. However, our gap is deterministic service auditing; to know for sure if a service was successfully stopped, we need Windows Event ID 7040 (Service Control Manager logs). Finally, actively protecting the agent from being uninstalled or tampered with at the kernel level is out of scope. A SIEM cannot self-protect endpoints; this requires an EDR agent with built-in anti-tamper mechanisms. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + EDR, once integrated.",T1562.001 (Impair Defenses: Disable/Modify Tools),Yes. Can expand to include System 7040 / 7036 service state changes.,EDR Platform,Missing Rule,N,N
Core,Offline protection & remediation,"Local ML models, cached policy, queued actions execute on reconnect — full protection during VPN/internet outage",Endpoint protection & response: Core EDR — agents on every managed device,Out of Scope,"Providing protection while an endpoint is completely offline requires an agent running locally on the machine with its own built-in ML models and cached policies. Because a SIEM relies 100% on centralized log forwarding over the network, it is physically impossible for the correlation engine to analyze events or protect a machine during an internet outage. This is a fundamental architectural requirement for a local EDR agent.",,No. Offline ML models and caching are EDR sensor features.,EDR Platform,Tooling / Capability Gap,Y,N
Gov-critical,"Deep telemetry (process, file, network, registry)","Full process tree, file create/modify/delete, network socket, registry change — 30–90 day searchable history",Endpoint protection & response: Core EDR — agents on every managed device,Covered,"This foundational telemetry (process, file, network, registry) is fully covered and serves as the primary data source for over 470 of our active correlation rules (e.g., AN0130-T1114.001-DET0047, AN0240-T1518.002-DET0088). Please note: While our engine perfectly analyzes this telemetry, maintaining a '30-90 day searchable history' is an infrastructure storage configuration inside the SIEM backend, not a capability of the correlation rules themselves.","Data Sources: Process, Network, File, Registry","Action item for SIEM Admin, not Detection Team.",SIEM / Data Lake,Covered,N,N
Core,Server EDR (Windows + Linux),"Lightweight kernel sensor for servers, workload-aware tuning, container/VM visibility, privileged process monitoring",Endpoint protection & response: Core EDR — agents on every managed device,Partial,"Privileged process monitoring on Windows servers (like IIS and SQL) is strongly covered by over 30 rules (e.g., AN0219-T1190-DET0080). However, we have a critical gap in Linux and container visibility. To detect server attacks on Linux workloads, we absolutely need native telemetry like Auditd, Syslog, or Sysmon for Linux. For container visibility, we need logs from tools like Falco or Kubernetes audit logs. Without these specific log sources forwarding to the SIEM, we are completely blind to Linux and container compromises. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + EDR, once integrated.",T1505 (Server Software Component),"We can build Linux rules, but we need the telemetry and sensor deployment.",Server EDR / CWPP,Missing Logs,N,Y
Gov-critical,Credential dumping prevention,"LSASS access monitoring, mimikatz/DCSync/pass-the-hash/pass-the-ticket detection, NTLM relay blocking","Identity protection & privilege control: Credential, access, and escalation defence",Partial,"Detecting attempts to read LSASS memory (e.g., Mimikatz dumping passwords) is strongly covered by over 20 rules (e.g., AN0235-T1003.002-DET0085). However, we have a gap for advanced identity attacks: to detect DCSync, we need Windows Event ID 4662 (Directory Service Access) capturing specific replication GUIDs. To detect NTLM relays, we need Windows Event 4624 (Logon) capturing NTLM authentication details. Finally, actively blocking these attacks is out of scope. A SIEM cannot enforce OS-level memory protections like Credential Guard or physically block network authentication relays. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + EDR, once integrated.","T1003.001 (LSASS), T1003.006 (DCSync), T1550.002 (Pass the Hash)","Yes for DCSync, but MUST filter Event 4662 on replication GUIDs (1131f6aa-9c07-11d1-f79f-00c04fc2dcd2, etc.) or it's too noisy. NTLM relay requires specific tools, not just logs.",EDR Platform,Missing Rule,N,N
Gov-critical,Privilege escalation detection,"Token impersonation, UAC bypass, sudo abuse, SeDebugPrivilege misuse, scheduled task privilege abuse alerts","Identity protection & privilege control: Credential, access, and escalation defence",Partial,"Detecting Windows privilege escalation techniques like Token Impersonation, UAC Bypass, and Scheduled Task abuse is fully covered (via rules AN1324-T1134.001-DET0482, AN0786-T1134-DET0283, and AN0975-T1548-DET0345). However, we have specific log gaps for the remaining techniques: To deterministically catch SeDebugPrivilege misuse, we need Windows Event ID 4703 (Token Right Adjusted) enabled in advanced audit policy. To detect Linux sudo abuse, we need native Linux telemetry like Auditd or auth.log forwarded to the SIEM.","T1134 (Token Manipulation), T1548.002 (Bypass UAC), T1053.005 (Scheduled Task)",Yes. Can build rules for Event 4703 (Token Right Adjusted) and Linux auditd logs.,EDR Platform / SIEM,Missing Logs,N,Y
Core,Identity threat detection & response (ITDR),"AD/Entra anomaly detection, golden/silver ticket attacks, Kerberoasting, brute force, impossible travel alerts","Identity protection & privilege control: Credential, access, and escalation defence",Partial,"Detecting on-premise Active Directory threats like Golden Tickets and Kerberoasting is fully covered by our existing rules (e.g., AN0405-T1558.001-DET0144). However, we have a complete blind spot for cloud identity threats like Entra ID 'impossible travel' or cloud brute-forcing. To fix this gap, we absolutely need to integrate Azure AD Sign-in Logs and Azure AD Audit Logs into the SIEM. Without these specific log sources, our cloud identity coverage remains zero.",T1558 (Steal or Forge Kerberos Tickets),We need Entra ID logs for the cloud identity portion.,ITDR Platform,Missing Logs,N,Y
Gov-critical,MFA & conditional access enforcement,"Risk-based MFA trigger, device posture check, location-based policy, session token theft detection","Identity protection & privilege control: Credential, access, and escalation defence",Out of Scope,"Actively enforcing Conditional Access policies, triggering MFA prompts, and checking device posture are active capabilities that require a dedicated Identity Provider (like Entra ID or Okta). A SIEM cannot physically enforce logins or block sessions in real-time. While we could theoretically audit 'session token theft' (which is currently a log gap requiring Azure AD Sign-in Logs), the core enforcement mandate of this category is completely out of scope for a passive correlation engine. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + IAM/IdP (e.g., Entra ID/Okta) API, once integrated.","T1111 (2FA Interception) / T1556 (Modify Authentication Process), T1539 (Steal Web Cookie)",No amount of endpoint engineering closes this; it requires IdP log ingestion first.,"IAM Platform (e.g., Entra ID, Okta)",Missing Logs,N,Y
Emerging,Privileged access management (PAM) integration,"Just-in-time privilege, admin account monitoring, privileged session recording, lateral movement from admin accounts","Identity protection & privilege control: Credential, access, and escalation defence",Partial,"Detecting suspicious admin account logins and lateral movement is strongly covered by over 50 rules (e.g., AN8015-T1021-DET8015, AN0327-T1210-DET0118). However, enforcing Just-In-Time (JIT) privileges and performing privileged session recording are out of scope. A SIEM can audit when admins log in, but managing their temporary access or actively recording their screen sessions requires a dedicated PAM platform (like CyberArk or BeyondTrust).",T1078 (Valid Accounts),No. JIT and session recording are strict PAM capabilities.,PAM Platform,Tooling / Capability Gap,Y,N
Emerging,Service account & NHI monitoring,"Non-human identity (API keys, service accounts, tokens) anomaly detection, over privileged account alerts","Identity protection & privilege control: Credential, access, and escalation defence",Partial,"Monitoring local Windows service accounts (like NETWORK SERVICE or SYSTEM) for anomalous behavior is fully covered by our existing rules (e.g., AN0786-T1134-DET0283). However, we have a significant blind spot regarding Cloud Non-Human Identities (NHI). To detect abuse of cloud API keys or over-privileged service principals, we absolutely need cloud control plane logs like AWS CloudTrail, Azure Activity Logs, and Entra ID Service Principal sign-ins. Without these specific logs, our cloud service account visibility is zero.",T1078.004 (Cloud Accounts),We need Cloud logs for API/NHI anomaly detection.,Cloud Provider Native Logs / CIEM,Missing Logs,N,Y
Gov-critical,C2 & beacon detection,"DNS tunnelling, DGA domain detection, HTTPS C2 decryption, periodic beacon pattern analysis, encrypted C2 over TOR/CDN","Network detection & XDR correlation: Cross-source signal fusion, east-west, C2",Partial,"Behavioral beacon detection and periodic communication analysis using Zeek, Suricata, and endpoint telemetry are fully covered by over 20 correlation rules (e.g., AN8002-T1071-DET8002, AN0637-T1104-DET0228). However, we have an architectural gap regarding advanced network capabilities: full DGA (Domain Generation Algorithm) classification, encrypted HTTPS payload decryption, and TLS fingerprinting are out of scope. A SIEM cannot decrypt live network traffic or perform deep packet inspection. This requires a dedicated Network Detection and Response (NDR) platform.","T1071.004 (App Layer Protocol: DNS), T1568 (Dynamic Resolution), T1090.003 (Proxy: TOR)",Sigma alone is weak for this. Best addressed via NDR or Threat Intel feeds + frequency analysis as a stopgap.,NDR Platform / EDR Platform,Tooling / Capability Gap,Y,N
Core,Lateral movement detection,"SMB/WMI/RDP anomaly, pass-the-hash spread, network share enumeration, service installation across hosts","Network detection & XDR correlation: Cross-source signal fusion, east-west, C2",Covered,"Detecting lateral movement across the network—including WMI anomalies, Pass-the-Hash spreads, SMB admin share enumeration, and remote service installations (Event ID 7045)—is fully covered. This represents a core strength of our SIEM correlation engine, with over 60 active rules successfully mapping to these specific techniques (e.g., AN0147-T1534-DET0054, AN0327-T1210-DET0118). No log source or architectural capability gaps exist for these detections.",T1021 (Remote Services),"Yes, logic exists.",EDR Platform / NDR Platform,Covered,N,N
Core,Network traffic analysis (NDR/NTA),"East-west traffic baselining, protocol anomaly, data exfiltration detection, IoT/OT/unmanaged host visibility","Network detection & XDR correlation: Cross-source signal fusion, east-west, C2",Partial,"Detecting data exfiltration and protocol anomalies using Zeek, Suricata, and network flow logs is fully covered by our existing correlation rules (e.g., AN0436-T1567.004-DET0153, AN1511-T1567-DET0548). However, we have an architectural gap for deep network visibility: performing deep packet inspection, raw protocol decoding, and unmanaged IoT/OT device discovery are completely out of scope. A SIEM relies on pre-parsed flow logs; it cannot decrypt or inspect live wire data. This requires a dedicated Network Detection and Response (NDR) platform.",T1040 (Network Sniffing),No. Sigma cannot perform deep packet inspection.,NDR Platform,Tooling / Capability Gap,Y,N
Core,Web reputation & URL filtering,"Real-time URL categorisation, drive-by download blocking, typosquatting/lookalike domain alerts, SSL inspection","Network detection & XDR correlation: Cross-source signal fusion, east-west, C2",Partial,"Detecting the aftermath of a malicious web download (e.g., a browser spawning a suspicious child process like cmd.exe) is covered by our correlation rules (e.g., AN0498-T1189-DET0176). However, we have a major architectural gap regarding the network prevention layer: Real-time URL categorization, drive-by download blocking, and SSL traffic inspection are completely out of scope. A SIEM cannot actively block URLs or decrypt live SSL sessions; this physically requires an inline Secure Web Gateway (SWG) or a next-generation firewall.",T1189 (Drive-by Compromise),No. URL filtering and SSL inspection requires a proxy/gateway.,Secure Web Gateway (SWG),Tooling / Capability Gap,Y,N
Gov-critical,DNS security & sinkholing,"Malicious domain blocking, DNS-over-HTTPS inspection, recursive query anomaly, DNS-based exfiltration prevention","Network detection & XDR correlation: Cross-source signal fusion, east-west, C2",Out of Scope,"Actively blocking malicious domains (sinkholing) and preventing DNS-based exfiltration in real-time are out of scope. A SIEM is a passive log analyzer; it cannot physically intercept or block DNS requests. This requires a dedicated DNS security platform (like Cisco Umbrella) or a Next-Gen Firewall. Furthermore, we currently have a log gap for detecting advanced DNS threats: to alert on DNS-over-HTTPS (DoH) or recursive anomalies, we need dedicated DNS infrastructure telemetry (like Windows DNS Server Analytical logs or Zeek DNS logs). Once detection is closed (via missing log), response is separately solvable via SOAR playbook + Secure DNS, once integrated.","T1568.002 (DGA), T1071.004 (DNS), T1048.003 (Exfiltration Over Alternative Protocol)","Yes, requires DNS server logs or EDR DNS query telemetry.",Secure DNS Platform / NDR,Missing Logs,N,Y
Gov-critical,Zero Trust network access (ZTNA),"Application-level micro-segmentation, device posture gate, continuous session re evaluation replacing legacy VPN","Network detection & XDR correlation: Cross-source signal fusion, east-west, C2",Out of Scope,"Application-level micro-segmentation, checking device posture at the gate, and continuously re-evaluating sessions are active network control capabilities. A SIEM is a passive analytics platform; it cannot act as an inline proxy to dynamically segment or block traffic. Therefore, replacing a legacy VPN with these zero-trust controls is completely out of scope and requires a dedicated ZTNA or SASE (Secure Access Service Edge) platform.",T1133 (External Remote Services),"No. ZTNA is an architectural enforcement mechanism, not a detection rule.",ZTNA Platform,Tooling / Capability Gap,Y,N
Gov-critical,Anti-phishing & BEC detection,"Display name spoofing, lookalike domain detection, executive impersonation alerts, vendor email compromise","Email & collaboration security: Phishing, BEC, tender fraud, attachment threats",Partial,"Detecting the endpoint aftermath of a phishing attack (e.g., a malicious Word macro executing) is covered by our correlation rules (e.g., AN0655-T1566.001-DET0236). However, we have a complete blind spot for the actual email delivery and Business Email Compromise (BEC) techniques. To detect display name spoofing, lookalike domains, or executive impersonation, we absolutely need Email Gateway logs (like Proofpoint or O365 Message Trace logs). Without these specific email logs, our SIEM cannot see the phishing attempts before they reach the user.","T1566.001 (Spearphishing Attachment), T1566.002 (Spearphishing Link)",No amount of endpoint engineering closes this; requires Email/API log ingestion.,Secure Email Gateway (SEG),Missing Logs,N,Y
Core,Attachment sandboxing & detonation,"Zero-day attachment execution in cloud sandbox, macro analysis, PDF exploit detection, password-protected archive unpacking","Email & collaboration security: Phishing, BEC, tender fraud, attachment threats",Out of Scope,"Detonating zero-day attachments in a cloud sandbox, unpacking password-protected archives, and analyzing files pre-delivery are out of scope. A SIEM is an analytics engine, not a sandbox; it does not contain virtual machines to safely execute malware. This capability physically requires a dedicated Email Sandbox (like Proofpoint TAP or Defender for Office 365). While we can detect the aftermath if a user actually clicks a bad attachment (via endpoint rules like AN0655-T1566.001-DET0236), the core sandboxing capability is an architectural impossibility for a SIEM.",T1566.001 (Spearphishing Attachment),No. Pre-delivery sandboxing requires an Email Gateway.,Secure Email Gateway (SEG),Tooling / Capability Gap,Y,N
Core,URL rewriting & time-of-click protection,"All email links proxied through reputation engine, re-evaluated at click time to catch delayed weaponisation","Email & collaboration security: Phishing, BEC, tender fraud, attachment threats",Out of Scope,"Proxying email links through a reputation engine and actively rewriting URLs for time-of-click protection are entirely out of scope. A SIEM is a passive analytics platform that analyzes logs after an event occurs; it does not sit inline with email delivery routing. Therefore, it cannot physically intercept, rewrite, or proxy email URLs. This capability requires a dedicated Secure Email Gateway (like Proofpoint TAP or Mimecast).",,No. Time-of-click protection is an Email Gateway feature.,Secure Email Gateway (SEG),Tooling / Capability Gap,Y,N
Gov-critical,DMARC / DKIM / SPF enforcement,"Sender authentication enforcement, spoofed domain blocking, outbound policy compliance for government domain","Email & collaboration security: Phishing, BEC, tender fraud, attachment threats",Out of Scope,"Actively enforcing email authentication policies (like dropping emails that fail DMARC/SPF checks) and blocking spoofed domains are completely out of scope. A SIEM is a passive log analyzer; it cannot physically drop inbound emails or publish outbound DNS policies. This enforcement must happen at the Secure Email Gateway (SEG) layer (e.g., Proofpoint, O365). While we could theoretically alert on authentication failures, that is currently a log gap because we lack the email header logs to do so. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + Email Gateway, once integrated.",T1566 (Phishing),Action item for Email Admin to enforce p=reject on DMARC policies.,Secure Email Gateway (SEG),Missing Logs,N,Y
Emerging,Tender & financial fraud email detection,"NLP-based urgent payment request detection, anomalous bank detail change alerts, document tampering signals in attachments","Email & collaboration security: Phishing, BEC, tender fraud, attachment threats",Out of Scope,Analyzing the natural language of an email body to detect 'urgent payment requests' or 'anomalous bank details' is completely out of scope. A SIEM is a structured log search engine; it cannot run Natural Language Processing (NLP) or AI models against the unstructured text of an email body. This deep semantic analysis physically requires a specialized API-based email security platform (like Abnormal Security or Tessian).,,No. Requires ML-based email security.,Advanced Email Security,Tooling / Capability Gap,Y,N
Gov-critical,Mailbox takeover detection,"Behavioural baseline per user, anomalous forwarding rule alerts, impossible travel logins, OAuth token abuse","Email & collaboration security: Phishing, BEC, tender fraud, attachment threats",Partial,"Detecting malicious email forwarding rules created locally via PowerShell is successfully covered by rule AN1589-T1114.003-DET0576. However, we have a major log gap regarding cloud-based mailbox takeovers. To detect forwarding rules created via the Web UI, impossible travel logins, or OAuth consent abuse, we absolutely need cloud audit telemetry (specifically Office 365 Unified Audit Logs and Azure AD Audit Logs). Without these logs, our visibility into cloud mailbox compromises remains completely blind.","T1114.003 (Email Collection: Forwarding Rule), T1528 (Steal Application Access Token)",Requires shifting focus from endpoint PowerShell logs to Cloud/IdP logs.,Cloud Email Provider Logs / SIEM,Missing Logs,N,Y
Gov-critical,Outbound email DLP,"Content inspection, sensitivity label enforcement, bulk recipient alerts, classified document exfiltration blocking","Email & collaboration security: Phishing, BEC, tender fraud, attachment threats",Out of Scope,"Actively blocking the exfiltration of classified documents and enforcing sensitivity labels on outbound emails are completely out of scope. A SIEM is a passive analytics platform; it cannot inspect email body content mid-flight or physically block an email from leaving the network. These capabilities require a dedicated Data Loss Prevention (DLP) solution (like Microsoft Purview). While we could theoretically alert on bulk external recipients, this is currently a log gap because we lack Office 365 Message Trace logs. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + Email Gateway, once integrated.",T1567 (Exfiltration Over Web Service),Requires DLP logs flowing into the SIEM and DLP blocking policies in the gateway.,Email DLP / Secure Email Gateway (SEG),Missing Logs,N,Y
Gov-critical,Automated data discovery & classification,"AI-powered scan of structured/unstructured data, sensitivity label auto-application, PII/financial/tender document tagging","Data protection & DLP: Classification, leakage prevention, encryption",Out of Scope,"Automatically scanning file servers or SharePoint drives at rest to apply sensitivity labels using AI/NLP is completely out of scope. A SIEM analyzes logs of events (e.g., a record that a user opened a file); it does not crawl file systems to read the raw unstructured contents of documents. This kind of deep data discovery and classification physically requires a Data Security Posture Management (DSPM) or DLP platform (like Varonis or Microsoft Purview).",T1213 (Data from Information Repositories),Requires a dedicated product. Sigma rules could theoretically only audit the *removal* of labels.,DSPM Platform,Tooling / Capability Gap,Y,N
Core,"Endpoint DLP (print, copy, USB, screenshot)","Block/alert on sensitive data copy to USB, print, clipboard, screenshot — policy by label, content, or user group","Data protection & DLP: Classification, leakage prevention, encryption",Partial,"Detecting basic data theft behaviors (like anomalous clipboard access or suspicious USB file copies) is covered by our correlation rules (e.g., AN0965-T1115-DET0341, AN0616-T1052.001-DET0220). However, actively blocking screenshots, restricting print jobs, or applying policies based on internal document 'content labels' are completely out of scope. A SIEM cannot physically intercept hardware actions or inspect raw file contents in real-time. These deep enforcement capabilities require a dedicated Endpoint DLP agent (like Microsoft Purview Endpoint DLP or Forcepoint).",T1052 (Exfiltration over Physical Medium),No. Blocking requires an Endpoint DLP agent.,Endpoint DLP Agent,Tooling / Capability Gap,Y,N
Core,Network DLP & cloud DLP (CASB),"Inspect data uploads to cloud apps, SaaS data movement policies, shadow IT detection, unsanctioned app blocking","Data protection & DLP: Classification, leakage prevention, encryption",Out of Scope,"Actively inspecting data uploads to cloud apps, enforcing SaaS movement policies, and blocking unsanctioned web apps are completely out of scope. A SIEM is not an inline proxy; it cannot intercept, decrypt, or block live web traffic. These capabilities physically require a dedicated Cloud Access Security Broker (CASB) or Secure Web Gateway (SWG). While we could theoretically detect 'Shadow IT' usage by analyzing network connections, this remains a log gap because we currently lack firewall traffic or DNS logs in the SIEM.",T1567 (Exfiltration Over Web Service),No. Requires network traffic inspection.,CASB / SWG / NGFW,Tooling / Capability Gap,Y,N
Gov-critical,Data-in-transit encryption enforcement,"TLS 1.3 enforcement, SSL inspection, certificate pinning violation alerts, unencrypted protocol blocking","Data protection & DLP: Classification, leakage prevention, encryption",Out of Scope,"Actively enforcing TLS 1.3, blocking unencrypted protocols, and performing SSL inspection are completely out of scope. A SIEM is a passive log analyzer; it cannot act as a network gateway to intercept, decrypt, or encrypt live traffic. This capability physically requires a Next-Gen Firewall or Secure Web Gateway (SWG). While we do have some rules that catch the endpoint aftermath (like detecting unencrypted HTTP script downloads), the core encryption enforcement mandate of this category is an architectural impossibility.","T1048 (Exfiltration), T1573 (Encrypted Channel)",No. This is a network proxy/firewall capability.,NGFW / SWG,Tooling / Capability Gap,Y,N
Gov-critical,Information rights management (IRM/MIP),Persistent label-based encryption that travels with the document — controls view/edit/print/forward regardless of location,"Data protection & DLP: Classification, leakage prevention, encryption",Out of Scope,"Applying persistent, label-based encryption that travels with a document (to control who can view, edit, or print it) is entirely out of scope. A SIEM analyzes event logs; it cannot encrypt files or act as an access control broker for documents. This capability physically requires a dedicated Information Rights Management (IRM) platform (like Microsoft Information Protection).","T1572 (Protocol Tunneling - loosely), T1486 (Data Encrypted for Impact)",No. Requires a dedicated data protection tool.,IRM / MIP Platform,Tooling / Capability Gap,Y,N
